5682911#0	خواننده سنتی در چه دستگاهی آواز می خواتد؟
5326439#0	دین مسیحیت در کجا بیشتر رواج دارد؟
1225615#0	چگونه ورزش به سلامت انسان کمک می کند؟
1581996#0	آش رشته چگونه تهیه می شور؟
5882571#0	رفاه  حال کودکان در گرو چیست؟
3688680#0	یونان در چه موقعیت جغرافیایی قرار دارد؟
360767#0	امپراطوری های بزرگ چگونه شکل گرفت؟
186110#0	پادشاهان گذشته چگونه حکومت میکردند؟
5622615#0	رابطه شعر و فرهنگ درچیست؟
4334823#0	کاربرد برنامه نویسی در کامپیوتر چیست؟
5552738#0	عملکرد مغز به چه چیزهایی بستگی دارد؟
4735147#0	چند فوتبالیست در یک تیم باهم بازی میکنند؟
3769425#0	چرا از موش در تحقیقات آزمایشگاهی استفاده می شود؟
4986060#0	اسامی مستعار در کجا استفاده میشود؟
2806820#0	کاربرد گرافیک در انیمیشن چیست؟
4939434#0	دیگ ذوب برای چه چیزی استفاده می شود؟
4352235#0	چه برنامه ای برای اجرای فایل ها استفاده می شود؟
958347#0	رودخانه هاچه تاثیری در آب و هوا دارند؟
5256854#0	کدام کشور مهد موسیقی است؟
2330308#0	شیشه در کجا کاربرد دارد؟
5921962#0	غمارت گلستاد در کجا قرار دارد؟
4382477#0	مدل های جدید خودرو در کجا به نمایش گذاشته میشوند؟
5740020#0	انتخابات ریاست جمهوری چه زمانی برگزار میشوند؟
3385349#0	خالق کتابهای کمیک کیست؟
4284225#0	جانداران به چند گروه دسته بندی میشوند؟
895627#0	چرا فشرده سازی کلمات در کامپیوتر اهمیت دترد؟
4757900#0	رودخانه سفیدرود چند ملر طول دارد؟
896299#0	درخت کاج در چه مناطقی بیشتر می روید؟
903512#0	چه چیزی باعث ثبات دمای محیط می شود؟
201549#0	باشگاه‌های فوتبال کدام کشور بهترین بازیکنان را دارد؟
39969#0	چه رشته دانشگاهی با معادن طبیعی سروکار دارد؟
1040246#0	گل سرخ در چه شرایطی رشد می کند؟
1793593#0	باکتری ها در چه مخیطی رشد می کنند؟
860819#0	روح الله موسوی خمینی که بود؟
3878416#0	تیم برتر فوتبال فرانسه چه نام دارد؟
2348098#0	اساس معماری نوین برگرفته هز چیست؟
363906#0	چرا فیلم کمدی در بین مردم از محبوبیت خاصی برخوردار است؟
1794096#0	روش ازدیاد گل شمعدانی چیست؟
384474#0	ساخت یک فیلم مستند چه مدت طول می کشد؟
30982#0	پیمان نامه آخال بین چه کشورهایی بسته شد؟
1300736#0	رونالدینو سابقه بازی در چند بازی ملی را در کارنامه خود دارد؟
4661104#0	از سنگها چه استفاده ای می شود؟
4307643#0	معنی کلمه حُبّ در عربی چیست؟
2382005#0	در داستان های کوتاه از چه ژانرهایی استفاده میشود؟
3187542#0	فیلم کمدی مارمولک را چه کسی کارگردانی کرده است؟
3737342#0	در ساخت ترانه از چه سبکهایی استفاده می شود؟
143811#0	در آمار و احتمالات چه عوامتی مورد بررسی قرار می گیرد؟
140324#0	جنگ داخلی افغانستان به چه علت روی داد؟
346327#0	ورزش والیبال در چند ست انجام می شود؟
1485291#0	پیامبر اسلام در چند سالگی به پیامبری اسلام منصوب شد؟
5643334#0	مایکروسافت په برنامه هایی را به بازار عرضه کرده است؟
902352#0	پرسپکتیو در هنر گرافیک چگونه نشاد داده میشود؟
3806138#0	وظیفه حافظه رام چیست؟
5184334#0	مجریان گات تلنت آمریکا چه کساتی هستند؟
50878#0	ولتاژ جریان برق در آمزیکای شمالی چقدر است؟
5909150#0	سلسله اشکانیان در چه قرنی می زیستند؟
858765#0	مشخصه  تانک های  جنگی چیست؟
1672385#0	طراحی فرش به سبک نوین از چه زمانی آغاز شد؟
2550219#0	در بیهوشی عمومی از چه موادی استفاده می شود؟
5444476#0	نیروی اصطکاک میان دو جسم چگونه اندازه گیری می شود؟
141836#0	شهر کازرون در کدام استان ایران واقع شده است؟
4753050#0	نقش کلمه "چیز" در جمله چیست؟
5323419#0	از منبع نور خورشیدی چه استفاده هایی می توان کرد؟
494478#0	شهر کردکوی در در کدام منطقه آب و هوایی قرار دارد؟
215402#0	فیلم ایرانی "سقوط یک فرشته" ساخته کیست؟
352161#0	رئیس قوه مجریه جمهوری اسلامی ایران چگونه تعیین می شود؟
224651#0	آبشار شاه کولاک در کدام شهر اصفهان قرار دارد؟
232142#0	حزب کمونیست کره شمالی از چه زمانی آغاز به کار کرده است ؟
1672634#0	رکود اقتصادی چه اثری بر دولت آمریکا گذاشت؟
195007#0	از چتر چه استفاده ای می شود؟
3642215#0	قدیمی‌ترین سنگ‌های قاره اروپا چغدر غدمت دارند؟
479365#0	شکیرا در چه سالی خوانندگی را آغاز کرد؟
2326230#0	سبک موسیقی موتسارت چه بود؟
3967261#0	سیلیکون در چه دمایی ذوب میشود؟
4888335#0	در کارآفرینی چه مواردی مورد توجه قرار می گیرد؟
2430308#0	چه کسی پایه گذار روزنامه ایران در ایران بود؟
317608#0	در زبان‌شناسی شناختی تشبیه به چه معناست؟
1095109#0	گل نرگس از چه خانواده ای از گیاهان است؟
2550058#0	کدام کشورها جمعیت مسیحیان آن بیشتر است؟
4970972#0	حمله به سفارت آمریکا در ایران در چه سالی اتفاق افتاد؟
5523776#0	یک تهیه کننده چه فاکتورهایی را در کارش مورد توجه قرار می دهد؟
803268#0	بریتنی اسپیرز در چه سالی اولین آهنگ خود را منتشر کرد؟
243850#0	نظریات مارکسیستی از چه عواملی بوجود آمدند؟
541198#0	سبک معماری دوره قاجار در چه زمینه ای بود؟
159608#0	فلسفه ابن سینا به چه مباحثی می پردازد؟
